label,sub_id,text1,image1,text2,image2,text3,image3,text4,image4,text5,image5,text6,image6,text7,image7,text8,image8,text9,image9,text10,image10
intolerant,0,"There is a big correlation between being Benny Johnson, and being a massive retard",,"im intolerant 4 calling ian miles cheong a retard lol 

god forbid a dog speak the truth fr fr",,"What's the problem? XX is a woman and XY is a man. Or, if he's got a D***, HE ain't a chick. It's simple biology.",,"Muted for using faggot language.

""Icky""...🙄

What are you?

Fuckin 12? 🙄",,"The definition of Retard, literally means: Slow, slow learning -usually associated w neurological / mental defects.

It's often irrelevantly & carelessly misused as insults to the point it's considered a slur.

But no, given the current situation, it's 2025, & these're fucking adults, it's accurate",,"Replace white supremaçist with trans people and there you have the right statement. 

World will be free from pedos and disgusting leechs if that happens.",,Trumptard ??? Ya,,Mds odeio gnt autista pqp/j,,you're retarded,,"it is freaking so simple 
why don't these retard maggots understand",
intolerant,1,"I hate to break this to you, but Israel is not, never was, and never will be part of Europe, or the EU, they are not even in the Council of Europe.
They are a leading member of an exclusive club of countries perpetrating an ongoing genocide though.",,"I can't tell you how good it feels to see the woke filth segue from cheering the Palestinian terrorists who murdered, raped, and kidnapped Israelis to trying to save themselves.",,Maybe people are tired of Jews always playing the victim while murdering thousands and stealing land 🤷🏻‍♂️🤷🏻‍♂️,,"Suck it up.
Israel is going to complete the job of wiping out hamas.
There will not now be ANY ""palestinian""   ""state"".
Just accept it.",,"So all the human right organization are lying? Israel leaders genocidal statement are made up? Idf self incriminating videos are ai generated? 
What a retard",,"Israel is a terrorist nation who specifically targets reporters and children.
Israel is commiting a genocide.
The us is complicit and assists with it.
#israel is a #terrorist #nation
#zionism is a #terrorist ideology.

#israel in its current form should be wiped off the face of the earth.",,"Zionist run company that supports and funds the ongoing genocide in Palestine

Call them the genocidal subhuman zionist filthy trash fucks they are",,"I feel that lasting peace in the region is the only alternative to the horrors - and it’s not just us evil kikes inflicting those, thank you- we’ve seen since October 2023, and I feel the real enemy here are conservatives, regardless of nationality, using this to further their own interests. 2/3",,"You have an Israeli flag in your bio. Israel rapes women all the time.

Israel is also a safe haven for sexual predators.

🤷‍♂️",,Nobody needs to prove what a shithole society Israel is.,
intolerant,-1,Eklige weiße Mehrheitsgesellschaft 🤣😂🤣😂🤣,,"But that only supports my theory. ""What man has always perceived to be God and what man has always perceived to be the devil is correct, then God's chosen people are demonic, are they not?  Let's face it, they are not sane, they are not moral. They are lying, murderous thieves! Are they not?",,They’re not tho lol,,"“On the brink of financial collapse” hahahahaha
As if. 
Where is their god now? Where was he while children were being abused? 
Always silence over these questions. 
Religion is a disgusting remnant of an ignorant past. The sooner it’s gone, the better.",,Günde 5 vakit Arap eziyeti. Köpekler uluyor. Ezan başlayınca.,,faggot.,,"""Quant aux Tunisiens et aux Juifs, je suppose qu'ils rient bien à te lire.""
_ Je ne crois pas, puisque tous les africains savent  qu'ils sont négrophobes !!, ne parlent pas de ce que tu ne connais pas.
_ Et pour les juifs , je t'ai déjà mis les preuves sous les yeux !!
Tu es en plein déni !",,"THIS IS WHAT YOU GET WITH A REPUBLICAN MAGTARD VOTING BASE FILLED WITH REDNECKS, GRADESCHOOL DROPOUTS, INTRAVENOUS DRUG ADDICTS AND DEGENERATE INBREEDERS RUNNING AROUND WAVING VOTING CARDS LIKE IT'S A GRAD SCHOOL DIPLOMA FROM PRINCETON...THERE NEEDS TO BE AN ANNUAL COMPETENCY EXAM TO BE ABLE TO VOTE",,"who, lol, orange retard just keeps telling lie after lie.....

India, Pakistan ceasefire worked out 'directly between' them: Indian government source
AFP",,"あと何人の女子中学生が強姦されたら日本人は目を覚ますのだろうか。
#ヘイトスピーチ
#クルド人
#不法滞在
#NHK",
intolerant,2,Take off that hijab.,,"Hopefully not, but the UK is in trouble. The Muslims are sucking the UK Social Services dry. They claim immigrant status, don't work, have multiple families that need to be supported, and commit a lot of crimes.... especially RAPE of ""infidel"" women. Same with the rest of Europe.",,"The Christian holy bible made a prediction for the end of the world as we know it, the cause being the invasion and destruction of Israel. The Quran was written 450 years later, and because of the way it was written, pretty much guarantees that it would be people of Muslim faith that would cause it",,"Any attempt at pressure or threat from the Jihadist terrorist Trump will be considered an order to kidnap and execute his jihadists. If the faggot Trump carries out his cowardly threats, thousands of chewing-gum gay jihadists will be executed immediately. #WAR #JihadistsStates",,Married a 6 year old and fucked her at 9. The whole religion is based around a pedophile. That’s why Muslims won’t report child sex scandals because they agree with it. 🙃,https://drive.google.com/uc?id=1wCTzaM_BEt-Sot7rCtY9nOVhlaWOhkhf,"Shit, Islamic motherfuckers toss gays off buildings.",,Most of these car rammings are done by Muslims...,,"Another reason why the GOP freely has been pushing for more child marriage is because they got infiltrated by Muslims and Hindus, two religions that are full of child marriage",,,https://drive.google.com/uc?id=1O-2s3af_p7YwU8MnTQDniX6VLeO2Hzb8,"Even in the most Conservative countries like Pakistan and Afghanistan, you are required to uphold and maintain the sanctuary of everysingle belief system. Whether mono or multi.

Afghan and Pakis don't respect Minorities at all. So why should the minorites respect the ankle monitor Afghan and Pakis",
rude,0,Shut the fuck up,,Shut up pedophile,,"you don't get paid for getting people to respond to stupid shit here, why even do this",,BEGONE BRAND,,"You are 29. Stop looking a child porn, how bout that?",,"""You fell for it,"" says the invertebrate liberal who exists in a fantasy world.

You voted for the party that decided unconditional support of Israel's campaign of genocide was more important than beating Trump

You made a statement too. You're fine with genocide as long as your team does it. Coward",,I don't mind taking on stupid from time to time,, Nazi? I’m a liberal Democrat. You are a fucking child. Sorry your Faux News on here got interrupted. You’re as bad as they are. I’m for due process and taken to their home countries. Guess what? That’s what about 75% of Americans think and its a very fair position. You just scream fascist…grow up,,Fucking idiot.50% of all Tesla Dealerships are run by democrats and 50% of all Tesla owners are Democrats.Most cars damaged have already been paid for.You are a Domestic Terrorist and you have been reported.Just try it and you will get 20 years in a prison in El Salvador!,,"Nah, I did super well, thanks. Senior Service (very Elvis Costello mind you). Recovering from all that. Still never stupid enough to buy into the big book of Jewish fairy tales. Guess I got a proper education. What's your excuse?",
rude,2,"Si, claro! Vamos todos corriendo a escuchar a un abusador sexual! Sois unos hipócritas!",,Estudia un poco argentino de mierda que no hay mejor argentino quw el que esta muerto,,"@unnaxoficial.bsky.social Ela que vá pra puta que pariu!!!!! Volte a ser faxineira que é o que resta pra ela. Não sabe dançar, não sabe cantar, não sabe nem escrever música, essa letra horrível de farofeiro. Sabe nem lavar aquele cabelo SUJO dela, essa porca. Matheus arrume um MULHERÃO de verdade",,"Que una tía tan fea y contrahecha ponga en cuestión la belleza y el arte de la fiesta de los toros dan una idea de como cualquier analfabeta puede pedir que se prohiba amanecer.
Si Lorca y Alberti levantaran la cabeza y vieran a esta mamarracha la corrían a gorrazos.",,Que tonto eres.,,"Sim… e eu não tenho mais paciência pra ensinar esse bando de filho da puta. 2025 vir com esse discurso, pra mim jah eh falta de caráter pra baixo.",,"¿Cual es el sitio natural de un rojo? un puticlú o una cuneta, 🤣🤣🤣🤣🤣
Venga, bloqueao por rojo grasiento, y por fascista malhablao.",,"Il cervello inizia ad andarti in pappa. 

Sei in debito di attenzioni?",,¿Cuanto cobras tú del dinero que estafáis al pueblo?,,"Vai à merda enfia a lingua no cu e gira.

Fascista são vocês com mascara de democratas",
rude,1,"Des femmes, amies de cette dinde, voyagent comme @mathildepanot.bsky.social en business à nos frais aux antipodes à cramer du kérosène Totalenergie ! 

Derniers voyages de complaisance de ce bovin sur l’année écoulée : Antilles, Tahiti et Noivelle Caledonie

Les vols les plus polluants !",,"Tais toi donc, la vipère. Comme nous, tu ne sais que ce qu'en disent les medias.
C'est à dire, pas grand chose. Et dans ce cas, on laisse les pros travailler sans commentaires inutiles.",,Vidange 1er contrôle ton petit cerveau woke du Plateau.            Tu as l'intelligence et le jugement d'une mouche à marde.,,"Ah, bah t'es soit con, soit un connard.",,Va vomir ta connerie ailleurs,,"J'adore la connerie de ton commentaire. Poutine est la même merde impérialiste que Macron Trump biden o Von der Leyen.
Mais il faut être très con pour ne pas savoir le motif de cette guerre absurde.",,Ouais mais on est pas tous des baltringues comme toi,,"Quelle honte, franchement taisez vous. Vous êtes l'alliée objective de l'extrême droite islamiste. Pour le combat des femmes et des liberté, on repassera. Prête à tout pour conserver le pouvoir.🤡",,"Je vous merde
Lfi tous pourris
Chikirou à détourne des fonds",,"je n'ai pas de chef trouduc....et ferme ton claque merde si cela ne te plait pas 

AU LIEU DE FAIRE LE PLEUREUR
Tu veux un mouchoir, t'as pas de colonne vertébrale, t'es juste une petite crotte qui nous sort un argument de merde croyant tout et n'importe quoi

la CFDT est un syndicat de VENDUS.",
rude,-1,"W.r.t. fuck you

I have cognitive impairment from COVID that is permanent

And my ai helper when I code literally allows me too

My short term and long term memory is gone.

It would not be possible without LLM

We can have grown up conversations about ai isn't helping us, but this isn't it.",,Vaffanculo.,,ゴミ,,this would hit different if you fuckin deleted this,,"Una zorra que salía con un narco celoso del Cartel Jalisco.
Hay que decirlo todo.",,,https://drive.google.com/uc?id=1P45AO_ScofEwVFTMkAAu6djJr5Nl91Xb,"Oh,then go have a game of hide and go fuck yourself",,Shut the fuck up Mark Fields,,Must have left your brain in Vietnam. Eat shit dipshit.,,"TEN CAŁY NAWROCKI TAKA SZMATA JAK CAŁY PISOWSKI SZMEL , KŁAMCA , KRETACZ I ZŁODZIEJ . MĘDA JEBANA , CZYI,S KOSZTEM POWIEKSZA SWÓJ MAJĄTEK , I KŁAMIE SUKINSYN I OSZUST .",
threat,0,"Wise words. To Trump…You killed my country, prepare to die. (This is NOT a threat if you’re watching my feed)",,If some kid shows up to their school with this they deserve to be relentlessly bullied,https://drive.google.com/uc?id=1-xenjVKROaYKalf0MH1MS2yLFsTUqFyx,"BZZT! WRONG ANSWER DIPSHIT! Maybe if you're a shitbag centrist, like you seem to be, then all ""she could have won"" statements are equally self-serving, but if that's the case, you should fuck off and die.

She was the LEFT-WING candidate and didn't run a LEFT-WING platform so she fucking lost. Easy.",,"WTAF?!?!

No 1 in his fam has EVER Served. His GREAT GRANDFATHER got kicked out of Germany for DESERTION!!

FUQ your ‘Millions and Millions of DOLLARS’ *Sacrifice*! 100’s of Ks ACTUALLY Served & came home in caskets/scarred beyond repair!!

Put this chimp inna cage w/a Lion.

NATURAL WEAPONS ONLY!",,It's quite ironic that the country in which people get shot because the McDonalds forgot to put Ketchup on a Burger is unable to just rally up and shoot trump and his Henchman,,,https://drive.google.com/uc?id=1yaEf7HNauo5jJmcc6xXdc2qvt_YLp0OE,"I agree, israel is a terrorist state and israeli's are all psychopaths.  #AbolishIsrael  #FuckIsrael",,May all zionists die a particularly painful death and soon. Won't be any loss to me whatsoever.,,We should be very clear with Trump and republicans about this. There are no ways in which this is legal and we would be forced to handle this on our own by actively resorting to violence and being forced to kill trump and any republican who tries to support this illegal and unconstitutional action.,,"Sweetie, wanting pedophiles, zionazis, Nazis and fascists to stop existing, is  the only moral and ethical way.",
threat,1,j k rowling must die,,I hope JK Rowling chokes on a moth today.,,GET EM. FUCK THE UK. MAY JK ROWLING DROWN IN PISS,,jk rowling die <3,,Tennant is far a nicer person than I am. I for one wish Rowling a merry tumble down the stairs and into as grave.,,The only “death of the author” I’m interested in is JK Rowling actually dying,,"Taking a short tweet break to just saw fuck JK Rowling, I hope she does a horrible death",,I suggest we put JK Rowling in the F1 Academy race this weekend so we can all watch as she crashes into a barrier at 100 miles per hour and Grosjean's herself (but without the miraculous escape part),,jk rowling should die imo,,with how fucked up things are at the moment i think the universe should give us a treat and kill jk rowling,
